"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0
"5",1,4,0.270452639694293
"6",1,5,4.51491618124177
"7",1,6,0
"8",1,7,0
"9",1,8,1.60731558953197
"10",1,9,1.60731558953197
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",1,28,0
"30",1,29,0
"31",1,30,0
"32",1,31,0
"33",1,32,0
"34",1,33,0
"35",2,0,0
"36",2,1,0
"37",2,2,0
"38",2,3,0
"39",2,4,0.93597566569562
"40",2,5,1.34057154928649
"41",2,6,0.440529306572571
"42",2,7,0
"43",2,8,1.64740143128341
"44",2,9,3.6355220471619
"45",2,10,0
"46",2,11,0
"47",2,12,0
"48",2,13,0
"49",2,14,0
"50",2,15,0
"51",2,16,0
"52",2,17,0
"53",2,18,0
"54",2,19,0
"55",2,20,0
"56",2,21,0
"57",2,22,0
"58",2,23,0
"59",2,24,0
"60",2,25,0
"61",2,26,0
"62",2,27,0
"63",2,28,0
"64",2,29,0
"65",2,30,0
"66",2,31,0
"67",2,32,0
"68",2,33,0
"69",3,0,0
"70",3,1,0
"71",3,2,0
"72",3,3,0
"73",3,4,0.308065037578227
"74",3,5,0.63966203024531
"75",3,6,0.389761146919927
"76",3,7,0.0629362281662992
"77",3,8,1.57550908254371
"78",3,9,3.41675088501456
"79",3,10,0
"80",3,11,1.60731558953197
"81",3,12,0
"82",3,13,0
"83",3,14,0
"84",3,15,0
"85",3,16,0
"86",3,17,0
"87",3,18,0
"88",3,19,0
"89",3,20,0
"90",3,21,0
"91",3,22,0
"92",3,23,0
"93",3,24,0
"94",3,25,0
"95",3,26,0
"96",3,27,0
"97",3,28,0
"98",3,29,0
"99",3,30,0
"100",3,31,0
"101",3,32,0
"102",3,33,0
"103",4,0,0
"104",4,1,0
"105",4,2,0.20509499709555
"106",4,3,1.38381730954312
"107",4,4,2.02820645762993
"108",4,5,0.52183031602822
"109",4,6,0
"110",4,7,0.492272912786747
"111",4,8,3.36877800691643
"112",4,9,0
"113",4,10,0
"114",4,11,0
"115",4,12,0
"116",4,13,0
"117",4,14,0
"118",4,15,0
"119",4,16,0
"120",4,17,0
"121",4,18,0
"122",4,19,0
"123",4,20,0
"124",4,21,0
"125",4,22,0
"126",4,23,0
"127",4,24,0
"128",4,25,0
"129",4,26,0
"130",4,27,0
"131",4,28,0
"132",4,29,0
"133",4,30,0
"134",4,31,0
"135",4,32,0
"136",4,33,0
"137",5,0,0
"138",5,1,0
"139",5,2,0.115563339509624
"140",5,3,1.00743787924928
"141",5,4,1.9009051847927
"142",5,5,0
"143",5,6,0
"144",5,7,0
"145",5,8,3.36877800691643
"146",5,9,0
"147",5,10,0
"148",5,11,0.593212360717002
"149",5,12,1.01410322881497
"150",5,13,0
"151",5,14,0
"152",5,15,0
"153",5,16,0
"154",5,17,0
"155",5,18,0
"156",5,19,0
"157",5,20,0
"158",5,21,0
"159",5,22,0
"160",5,23,0
"161",5,24,0
"162",5,25,0
"163",5,26,0
"164",5,27,0
"165",5,28,0
"166",5,29,0
"167",5,30,0
"168",5,31,0
"169",5,32,0
"170",5,33,0
"171",6,0,0
"172",6,1,0
"173",6,2,0
"174",6,3,0.867383024519413
"175",6,4,0.0225087778003636
"176",6,5,0
"177",6,6,0.105808143601892
"178",6,7,0.52183031602822
"179",6,8,4.45426328042018
"180",6,9,0
"181",6,10,0
"182",6,11,0
"183",6,12,0
"184",6,13,0
"185",6,14,2.02820645762993
"186",6,15,0
"187",6,16,0
"188",6,17,0
"189",6,18,0
"190",6,19,0
"191",6,20,0
"192",6,21,0
"193",6,22,0
"194",6,23,0
"195",6,24,0
"196",6,25,0
"197",6,26,0
"198",6,27,0
"199",6,28,0
"200",6,29,0
"201",6,30,0
"202",6,31,0
"203",6,32,0
"204",6,33,0
"205",7,0,0
"206",7,1,0
"207",7,2,0
"208",7,3,0
"209",7,4,0
"210",7,5,0
"211",7,6,0.226558096431174
"212",7,7,0.85707639668767
"213",7,8,1.28343901765524
"214",7,9,0
"215",7,10,0
"216",7,11,0
"217",7,12,0.272983033491915
"218",7,13,0
"219",7,14,0.710318179757127
"220",7,15,4.64962527597687
"221",7,16,0
"222",7,17,0
"223",7,18,0
"224",7,19,0
"225",7,20,0
"226",7,21,0
"227",7,22,0
"228",7,23,0
"229",7,24,0
"230",7,25,0
"231",7,26,0
"232",7,27,0
"233",7,28,0
"234",7,29,0
"235",7,30,0
"236",7,31,0
"237",7,32,0
"238",7,33,0
"239",8,0,0
"240",8,1,0
"241",8,2,0.0760192647331413
"242",8,3,1.35691855397881
"243",8,4,0.0165317205184766
"244",8,5,0
"245",8,6,0.741827833401738
"246",8,7,0.882208414687217
"247",8,8,0.217144656477699
"248",8,9,0
"249",8,10,0
"250",8,11,0
"251",8,12,0.0597242802260486
"252",8,13,0
"253",8,14,1.80267758508866
"254",8,15,0.818741233258273
"255",8,16,0
"256",8,17,0
"257",8,18,2.02820645762993
"258",8,19,0
"259",8,20,0
"260",8,21,0
"261",8,22,0
"262",8,23,0
"263",8,24,0
"264",8,25,0
"265",8,26,0
"266",8,27,0
"267",8,28,0
"268",8,29,0
"269",8,30,0
"270",8,31,0
"271",8,32,0
"272",8,33,0
"273",9,0,0
"274",9,1,0
"275",9,2,0
"276",9,3,0.00618623204629689
"277",9,4,0.00621250062632958
"278",9,5,0
"279",9,6,1.47070543036415
"280",9,7,1.99457183382358
"281",9,8,0.661273083436465
"282",9,9,0
"283",9,10,0
"284",9,11,0
"285",9,12,0
"286",9,13,0
"287",9,14,1.50637614160171
"288",9,15,0
"289",9,16,0
"290",9,17,0
"291",9,18,0
"292",9,19,2.35467477810146
"293",9,20,0
"294",9,21,0
"295",9,22,0
"296",9,23,0
"297",9,24,0
"298",9,25,0
"299",9,26,0
"300",9,27,0
"301",9,28,0
"302",9,29,0
"303",9,30,0
"304",9,31,0
"305",9,32,0
"306",9,33,0
"307",10,0,0
"308",10,1,0
"309",10,2,0
"310",10,3,0
"311",10,4,0
"312",10,5,0
"313",10,6,2.08026980022955
"314",10,7,0.632718386086265
"315",10,8,0
"316",10,9,0
"317",10,10,0
"318",10,11,0
"319",10,12,0
"320",10,13,0.900738765090665
"321",10,14,0
"322",10,15,0
"323",10,16,0
"324",10,17,0
"325",10,18,0
"326",10,19,1.01488802041438
"327",10,20,0
"328",10,21,3.37138502817914
"329",10,22,0
"330",10,23,0
"331",10,24,0
"332",10,25,0
"333",10,26,0
"334",10,27,0
"335",10,28,0
"336",10,29,0
"337",10,30,0
"338",10,31,0
"339",10,32,0
"340",10,33,0
"341",11,0,0
"342",11,1,0
"343",11,2,0
"344",11,3,0.3693917644108
"345",11,4,0
"346",11,5,0.606806235122658
"347",11,6,1.11159936577851
"348",11,7,1.80420077626298
"349",11,8,0.0879023316795764
"350",11,9,0
"351",11,10,0
"352",11,11,0
"353",11,12,0
"354",11,13,0
"355",11,14,0
"356",11,15,0
"357",11,16,0
"358",11,17,0
"359",11,18,0.093577268132437
"360",11,19,0.911447613553933
"361",11,20,0
"362",11,21,3.01507464505911
"363",11,22,0
"364",11,23,0
"365",11,24,0
"366",11,25,0
"367",11,26,0
"368",11,27,0
"369",11,28,0
"370",11,29,0
"371",11,30,0
"372",11,31,0
"373",11,32,0
"374",11,33,0
"375",12,0,0
"376",12,1,0
"377",12,2,0
"378",12,3,0
"379",12,4,0.0117490739144878
"380",12,5,1.42712348945103
"381",12,6,0
"382",12,7,0.417427464028639
"383",12,8,6.14369997260584
"384",12,9,0
"385",12,10,0
"386",12,11,0
"387",12,12,0
"388",12,13,0
"389",12,14,0
"390",12,15,0
"391",12,16,0
"392",12,17,0
"393",12,18,0
"394",12,19,0
"395",12,20,0
"396",12,21,0
"397",12,22,0
"398",12,23,0
"399",12,24,0
"400",12,25,0
"401",12,26,0
"402",12,27,0
"403",12,28,0
"404",12,29,0
"405",12,30,0
"406",12,31,0
"407",12,32,0
"408",12,33,0
"409",13,0,0
"410",13,1,0
"411",13,2,0
"412",13,3,0
"413",13,4,0
"414",13,5,2.68803926032309
"415",13,6,1.70898422653956
"416",13,7,0
"417",13,8,0.264356122602554
"418",13,9,0
"419",13,10,0
"420",13,11,0
"421",13,12,0
"422",13,13,0
"423",13,14,0
"424",13,15,0
"425",13,16,0
"426",13,17,1.00502488168637
"427",13,18,0
"428",13,19,0
"429",13,20,0
"430",13,21,0
"431",13,22,0
"432",13,23,0
"433",13,24,0
"434",13,25,0
"435",13,26,0
"436",13,27,0
"437",13,28,1.32857062716206
"438",13,29,0
"439",13,30,1.00502488168637
"440",13,31,0
"441",13,32,0
"442",13,33,0
"443",14,0,0
"444",14,1,0
"445",14,2,0
"446",14,3,0
"447",14,4,0
"448",14,5,0.425249599956125
"449",14,6,0.266118571376865
"450",14,7,0
"451",14,8,0.583627550407751
"452",14,9,1.10788115704274
"453",14,10,0
"454",14,11,0
"455",14,12,0
"456",14,13,0
"457",14,14,0
"458",14,15,0.0305485536019328
"459",14,16,0.0312055618542965
"460",14,17,0
"461",14,18,0.0318914530041774
"462",14,19,0.364657914123896
"463",14,20,0.54745494828989
"464",14,21,0
"465",14,22,0.0617541154562295
"466",14,23,0
"467",14,24,0.827862130423971
"468",14,25,0.116142184993993
"469",14,26,0.417427464028639
"470",14,27,2.1824203645653
"471",14,28,1.00575843087419
"472",14,29,0
"473",14,30,0
"474",14,31,0
"475",14,32,0
"476",14,33,0
"477",15,0,0
"478",15,1,0
"479",15,2,0
"480",15,3,0
"481",15,4,0
"482",15,5,0
"483",15,6,0
"484",15,7,0
"485",15,8,0
"486",15,9,0
"487",15,10,0
"488",15,11,0
"489",15,12,0.814326247132342
"490",15,13,0.552597129508186
"491",15,14,0.0767345402995682
"492",15,15,0
"493",15,16,0.0977861082801382
"494",15,17,0
"495",15,18,0.0868489757213131
"496",15,19,0.364391951136634
"497",15,20,0.424815044448071
"498",15,21,0.0311828021002133
"499",15,22,0.719805889608202
"500",15,23,0
"501",15,24,2.4979158029169
"502",15,25,0
"503",15,26,0
"504",15,27,0
"505",15,28,2.33359550884843
"506",15,29,0
"507",15,30,0
"508",15,31,0
"509",15,32,0
"510",15,33,0
"511",16,0,0
"512",16,1,0
"513",16,2,0
"514",16,3,0
"515",16,4,0
"516",16,5,0
"517",16,6,0.00586264514954013
"518",16,7,1.65405672098891
"519",16,8,0
"520",16,9,0.196380661255706
"521",16,10,0
"522",16,11,0
"523",16,12,0
"524",16,13,0
"525",16,14,0
"526",16,15,0
"527",16,16,0
"528",16,17,0
"529",16,18,0
"530",16,19,2.80264278441503
"531",16,20,0.323781895568232
"532",16,21,0
"533",16,22,0
"534",16,23,0
"535",16,24,0
"536",16,25,0.681976535305961
"537",16,26,2.33529875731662
"538",16,27,0
"539",16,28,0
"540",16,29,0
"541",16,30,0
"542",16,31,0
"543",16,32,0
"544",16,33,0
"545",17,0,0
"546",17,1,0
"547",17,2,0
"548",17,3,0
"549",17,4,0
"550",17,5,0
"551",17,6,0.700820991087993
"552",17,7,2.62858149427877
"553",17,8,0.120986939747139
"554",17,9,0.620222419849732
"555",17,10,0.100108842846574
"556",17,11,0
"557",17,12,0
"558",17,13,0
"559",17,14,0
"560",17,15,0
"561",17,16,0
"562",17,17,0
"563",17,18,0
"564",17,19,0.641100516750297
"565",17,20,1.17666193369111
"566",17,21,0
"567",17,22,0
"568",17,23,0
"569",17,24,0
"570",17,25,0
"571",17,26,0
"572",17,27,2.01151686174839
"573",17,28,0
"574",17,29,0
"575",17,30,0
"576",17,31,0
"577",17,32,0
"578",17,33,0
"579",18,0,0
"580",18,1,0
"581",18,2,0
"582",18,3,0
"583",18,4,0
"584",18,5,0
"585",18,6,0.376923960117167
"586",18,7,1.83927090890262
"587",18,8,5.78380513098021
"588",18,9,0
"589",18,10,0
"590",18,11,0
"591",18,12,0
"592",18,13,0
"593",18,14,0
"594",18,15,0
"595",18,16,0
"596",18,17,0
"597",18,18,0
"598",18,19,0
"599",18,20,0
"600",18,21,0
"601",18,22,0
"602",18,23,0
"603",18,24,0
"604",18,25,0
"605",18,26,0
"606",18,27,0
"607",18,28,0
"608",18,29,0
"609",18,30,0
"610",18,31,0
"611",18,32,0
"612",18,33,0
"613",19,0,0
"614",19,1,0
"615",19,2,0
"616",19,3,0.88243304952414
"617",19,4,0.572297624698135
"618",19,5,0
"619",19,6,3.35709053033823
"620",19,7,3.18817879543949
"621",19,8,0
"622",19,9,0
"623",19,10,0
"624",19,11,0
"625",19,12,0
"626",19,13,0
"627",19,14,0
"628",19,15,0
"629",19,16,0
"630",19,17,0
"631",19,18,0
"632",19,19,0
"633",19,20,0
"634",19,21,0
"635",19,22,0
"636",19,23,0
"637",19,24,0
"638",19,25,0
"639",19,26,0
"640",19,27,0
"641",19,28,0
"642",19,29,0
"643",19,30,0
"644",19,31,0
"645",19,32,0
"646",19,33,0
"647",20,0,0
"648",20,1,0
"649",20,2,0
"650",20,3,0
"651",20,4,3.11960319190484
"652",20,5,1.90147242173248
"653",20,6,1.99060394150119
"654",20,7,0
"655",20,8,0
"656",20,9,0
"657",20,10,0
"658",20,11,0
"659",20,12,0
"660",20,13,0
"661",20,14,0
"662",20,15,0.0297105065895699
"663",20,16,0.0297105065895699
"664",20,17,0
"665",20,18,0.0297105065895699
"666",20,19,0
"667",20,20,0.0594210131791399
"668",20,21,0.0891315197687098
"669",20,22,0
"670",20,23,0
"671",20,24,0
"672",20,25,0
"673",20,26,0
"674",20,27,0
"675",20,28,0
"676",20,29,0.0297105065895699
"677",20,30,0
"678",20,31,0
"679",20,32,0
"680",20,33,0
"681",21,0,0
"682",21,1,0
"683",21,2,0
"684",21,3,0.347687815905563
"685",21,4,0.329929151736782
"686",21,5,0.101130630646212
"687",21,6,5.15803742979389
"688",21,7,0
"689",21,8,0
"690",21,9,0
"691",21,10,0
"692",21,11,0
"693",21,12,0
"694",21,13,0
"695",21,14,0
"696",21,15,0
"697",21,16,0
"698",21,17,0
"699",21,18,0
"700",21,19,0
"701",21,20,0
"702",21,21,0
"703",21,22,0
"704",21,23,0
"705",21,24,0
"706",21,25,2.06321497191755
"707",21,26,0
"708",21,27,0
"709",21,28,0
"710",21,29,0
"711",21,30,0
"712",21,31,0
"713",21,32,0
"714",21,33,0
"715",22,0,0
"716",22,1,0
"717",22,2,0
"718",22,3,0.0490306223726148
"719",22,4,0
"720",22,5,0.238946807210153
"721",22,6,1.77523754233479
"722",22,7,1.14614821899483
"723",22,8,3.75902932312883
"724",22,9,1.03160748595878
"725",22,10,0
"726",22,11,0
"727",22,12,0
"728",22,13,0
"729",22,14,0
"730",22,15,0
"731",22,16,0
"732",22,17,0
"733",22,18,0
"734",22,19,0
"735",22,20,0
"736",22,21,0
"737",22,22,0
"738",22,23,0
"739",22,24,0
"740",22,25,0
"741",22,26,0
"742",22,27,0
"743",22,28,0
"744",22,29,0
"745",22,30,0
"746",22,31,0
"747",22,32,0
"748",22,33,0
"749",23,0,0
"750",23,1,0
"751",23,2,0
"752",23,3,0.09238208544308
"753",23,4,0.0674909339224295
"754",23,5,0.0310072674532488
"755",23,6,0.00785381771972974
"756",23,7,0.238637165056922
"757",23,8,7.56262873040459
"758",23,9,0
"759",23,10,0
"760",23,11,0
"761",23,12,0
"762",23,13,0
"763",23,14,0
"764",23,15,0
"765",23,16,0
"766",23,17,0
"767",23,18,0
"768",23,19,0
"769",23,20,0
"770",23,21,0
"771",23,22,0
"772",23,23,0
"773",23,24,0
"774",23,25,0
"775",23,26,0
"776",23,27,0
"777",23,28,0
"778",23,29,0
"779",23,30,0
"780",23,31,0
"781",23,32,0
"782",23,33,0
"783",24,0,0
"784",24,1,0
"785",24,2,0
"786",24,3,0
"787",24,4,0.0777908410787239
"788",24,5,1.11368966424556
"789",24,6,0.666126008012479
"790",24,7,1.92573622105105
"791",24,8,1.54999059894552
"792",24,9,0
"793",24,10,0
"794",24,11,0
"795",24,12,0
"796",24,13,0
"797",24,14,0
"798",24,15,0
"799",24,16,0
"800",24,17,0
"801",24,18,0
"802",24,19,0
"803",24,20,0.603451694749112
"804",24,21,2.06321497191755
"805",24,22,0
"806",24,23,0
"807",24,24,0
"808",24,25,0
"809",24,26,0
"810",24,27,0
"811",24,28,0
"812",24,29,0
"813",24,30,0
"814",24,31,0
"815",24,32,0
"816",24,33,0
"817",25,0,0
"818",25,1,0
"819",25,2,0
"820",25,3,0.0208156540576518
"821",25,4,0.562107508271457
"822",25,5,0.448684323629669
"823",25,6,1.14614821899483
"824",25,7,0.0920888542325684
"825",25,8,0
"826",25,9,0
"827",25,10,0
"828",25,11,0
"829",25,12,0
"830",25,13,0
"831",25,14,0
"832",25,15,0
"833",25,16,0
"834",25,17,0
"835",25,18,0
"836",25,19,0
"837",25,20,0
"838",25,21,0
"839",25,22,0
"840",25,23,0.356044351077847
"841",25,24,0
"842",25,25,0.263325089031517
"843",25,26,1.41251184807901
"844",25,27,0.603451694749112
"845",25,28,3.09482245787633
"846",25,29,0
"847",25,30,0
"848",25,31,0
"849",25,32,0
"850",25,33,0
"851",26,0,0
"852",26,1,0
"853",26,2,0
"854",26,3,0.130240465183845
"855",26,4,0.0617531302034875
"856",26,5,3.27294383397829
"857",26,6,1.1051757215342
"858",26,7,0
"859",26,8,0
"860",26,9,0
"861",26,10,0
"862",26,11,0
"863",26,12,0
"864",26,13,0
"865",26,14,0
"866",26,15,0
"867",26,16,0
"868",26,17,0
"869",26,18,0
"870",26,19,0
"871",26,20,0
"872",26,21,0
"873",26,22,0
"874",26,23,0
"875",26,24,0
"876",26,25,0.531296195454942
"877",26,26,1.86609183033266
"878",26,27,0
"879",26,28,1.03249882331257
"880",26,29,0
"881",26,30,0
"882",26,31,0
"883",26,32,0
"884",26,33,0
"885",27,0,0
"886",27,1,0
"887",27,2,0
"888",27,3,0
"889",27,4,0.522983719445009
"890",27,5,2.18560952267334
"891",27,6,5.29140675788165
"892",27,7,0
"893",27,8,0
"894",27,9,0
"895",27,10,0
"896",27,11,0
"897",27,12,0
"898",27,13,0
"899",27,14,0
"900",27,15,0
"901",27,16,0
"902",27,17,0
"903",27,18,0
"904",27,19,0
"905",27,20,0
"906",27,21,0
"907",27,22,0
"908",27,23,0
"909",27,24,0
"910",27,25,0
"911",27,26,0
"912",27,27,0
"913",27,28,0
"914",27,29,0
"915",27,30,0
"916",27,31,0
"917",27,32,0
"918",27,33,0
"919",28,0,0
"920",28,1,0
"921",28,2,0.0208156540576518
"922",28,3,0.162252042620823
"923",28,4,0.155941989659016
"924",28,5,0.883478086440045
"925",28,6,2.84981638792584
"926",28,7,0
"927",28,8,0
"928",28,9,0
"929",28,10,0
"930",28,11,0
"931",28,12,0
"932",28,13,0
"933",28,14,0
"934",28,15,0
"935",28,16,0
"936",28,17,0
"937",28,18,0
"938",28,19,0
"939",28,20,0
"940",28,21,0
"941",28,22,0
"942",28,23,0
"943",28,24,0
"944",28,25,0
"945",28,26,0.657577477880844
"946",28,27,0
"947",28,28,0
"948",28,29,3.27011836141578
"949",28,30,0
"950",28,31,0
"951",28,32,0
"952",28,33,0
"953",29,0,0
"954",29,1,0
"955",29,2,0
"956",29,3,1.1611060836355
"957",29,4,0.045797305862728
"958",29,5,0.941380164181703
"959",29,6,5.85171644632007
"960",29,7,0
"961",29,8,0
"962",29,9,0
"963",29,10,0
"964",29,11,0
"965",29,12,0
"966",29,13,0
"967",29,14,0
"968",29,15,0
"969",29,16,0
"970",29,17,0
"971",29,18,0
"972",29,19,0
"973",29,20,0
"974",29,21,0
"975",29,22,0
"976",29,23,0
"977",29,24,0
"978",29,25,0
"979",29,26,0
"980",29,27,0
"981",29,28,0
"982",29,29,0
"983",29,30,0
"984",29,31,0
"985",29,32,0
"986",29,33,0
"987",30,0,0
"988",30,1,0
"989",30,2,0.207840350501849
"990",30,3,0.399600919205054
"991",30,4,0
"992",30,5,0
"993",30,6,4.72358798999138
"994",30,7,0
"995",30,8,0
"996",30,9,0
"997",30,10,0
"998",30,11,0
"999",30,12,0
"1000",30,13,0
"1001",30,14,0
"1002",30,15,0
"1003",30,16,0
"1004",30,17,0
"1005",30,18,0
"1006",30,19,0
"1007",30,20,0
"1008",30,21,0
"1009",30,22,0
"1010",30,23,0
"1011",30,24,0
"1012",30,25,0
"1013",30,26,0
"1014",30,27,0.271582714514114
"1015",30,28,2.3973880257876
"1016",30,29,0
"1017",30,30,0
"1018",30,31,0
"1019",30,32,0
"1020",30,33,0
"1021",31,0,0
"1022",31,1,0
"1023",31,2,0
"1024",31,3,0.0125241164279823
"1025",31,4,0.0382277167623227
"1026",31,5,1.35561990155388
"1027",31,6,0.890894549623988
"1028",31,7,0
"1029",31,8,0
"1030",31,9,0
"1031",31,10,0
"1032",31,11,0
"1033",31,12,0
"1034",31,13,0
"1035",31,14,0
"1036",31,15,0
"1037",31,16,0
"1038",31,17,0
"1039",31,18,0
